"","wb"
"1",5.0420684447246
"2",4.13727631185865
"3",4.61373694102497
"4",4.71994085493518
"5",3.39464203194035
"6",5.60488389945266
"7",4.11065366878252
"8",4.70227118383273
"9",3.67001364576456
"10",4.263647508484
"11",5.35591313454703
"12",5.2165093651023
"13",4.6244863856708
"14",5.07007163642344
"15",5.08237130034369
"16",2.83958048279491
"17",4.83909288928592
"18",3.86469920212181
"19",3.98346552638724
"20",4.22093203170458
"21",4.40627830605063
"22",4.25498788011344
"23",4.29059648444441
"24",4.68713432347149
"25",5.02960986166995
"26",4.77597355642521
"27",4.86652411489533
"28",5.44606480107288
"29",4.20441201824317
"30",3.324658939752
"31",5.17891490862272
"32",5.01914003599281
"33",5.42617048855063
"34",4.73375804690259
"35",3.69828869658945
"36",4.51203742876858
"37",3.87960314021543
"38",4.27902551931873
"39",5.1083512112253
"40",5.27207557683116
"41",5.02116732426257
"42",3.99392586642843
"43",4.84148068298705
"44",4.44699018680119
"45",3.93453097112366
"46",3.74395735426116
"47",3.56269099141477
"48",4.85831472909708
"49",4.6716404240826
"50",5.18303013860284
"51",5.13608340043602
"52",5.06043369584062
"53",5.06864411994373
"54",5.69388397831225
"55",5.34797285725458
"56",5.6753673037923
"57",4.39989033987109
"58",4.19467393205794
"59",5.04331977182838
"60",4.78457654450228
"61",5.1873469314528
"62",4.33657605688717
"63",3.7355308946218
"64",5.1756743886296
"65",4.82669220238243
"66",5.10995186254439
"67",4.97999011610099
"68",4.23552797783844
"69",4.7328145438214
"70",4.17179800675107
"71",5.31962695188575
"72",4.46082833800504
"73",5.53851619831096
"74",3.91916803245864
"75",5.33674813408974
"76",4.14054435135339
"77",5.50049416862434
"78",4.52901247130325
"79",4.88324485438736
"80",4.81184964463789
"81",4.56494882596774
"82",4.23513711937688
"83",3.93354039432328
"84",4.81041309928104
"85",4.47569231592295
"86",3.77372198631436
"87",5.2933573531806
"88",5.16987785099109
"89",3.34449913310324
"90",3.99954851074886
"91",4.96702744431891
"92",3.62960143972134
"93",5.63709540671693
"94",5.63798030027975
"95",5.15700096806416
"96",5.05025115512935
"97",4.51381632220363
"98",4.84523274209274
"99",4.82838442978942
"100",4.49651141696255
"101",5.07504498357881
"102",4.84026252192447
"103",4.58868758908149
"104",4.75421601628763
"105",4.03216618483246
"106",3.92369574023127
"107",5.50034862301142
"108",4.83181671859061
"109",4.75318807849675
"110",5.27581212574446
"111",4.84032164738238
"112",5.68479330414762
"113",4.41053395756654
"114",4.78083918083347
"115",4.18938724652019
"116",5.17303927484419
"117",4.73269394564463
"118",5.04191835926608
"119",5.12796853344494
"120",3.98136973857956
"121",4.79905476833476
"122",4.46422583443247
"123",3.08555022501246
"124",4.55111543177144
"125",4.26306448420551
"126",4.80885053513842
"127",5.08404486952224
"128",3.60976766528391
"129",4.75572758366088
"130",4.43123454282436
"131",5.07824034869369
"132",4.67862389526184
"133",4.65666928897701
"134",4.35254873207827
"135",4.96557748254672
"136",4.92511914237358
"137",5.53478094624203
"138",4.75814418945996
"139",4.88074313303107
"140",3.85235047472928
"141",4.8883273495042
"142",4.36049201712546
"143",3.25568094296088
"144",3.53057868006258
"145",5.46883864238221
"146",4.59441639963912
"147",4.10143816949416
"148",3.40620447496211
